Name,Average price of 1GB (USD – 2019),Average price of 1GB (USD – 2020),Average price of 1GB (USD – 2021),Average price of 1GB (USD – 2022),Average price of 1GB (USD – 2023)
India,0.25896515329588615,0.08740948879999999,0.6790075416470589,0.16579688399999998,0.160081758
China,9.88961400245385,0.60711313,0.5160506764285714,0.40846024999999997,0.37528315
United Kingdom,6.659295092592592,1.3925072,1.4167371999999998,0.7866625,0.6242975
Germany,6.957940938016573,4.0592188375,3.3754435142857138,2.9569962,2.1404610749999997
Canada,13.211805867431972,12.549,5.7166859375,7.366174,5.366570535714285
United States,8.340286613333333,8.0,3.3333333333333335,6.875,6.0
